item_id,cell_id,sample_idx,aim_id,bug_flavor,severity_tier,code,rationale,generation_model,timestamp,prompt_version
add_note__known_trap__significant__000,add_note__known_trap__significant,0,add_note,known_trap,significant,"def append_note(note, notes=[]):
    notes.append(note)
    return notes","Mutable default argument trap: the default empty list `notes=[]` is created once at function definition time and shared across all calls. When no notes argument is provided, successive calls will accumulate notes in the same list object instead of creating a fresh list each time. This persists wrong state across calls, meeting the significant severity tier.",anthropic/claude-sonnet-4.5,2026-08-25T01:10:32.140302+00:00,2026-08-24-v1
add_note__known_trap__trivial__000,add_note__known_trap__trivial,0,add_note,known_trap,trivial,"def append_note(note, notes=[]):
    notes.append(note)
    return notes","Classic mutable default argument trap. The empty list `notes=[]` is created once at function definition time and shared across all calls that don't provide an explicit `notes` argument. Subsequent calls without providing `notes` will keep appending to the same list object, accumulating notes across invocations instead of creating a fresh list each time. This matches the 'known_trap' flavor (mutable default argument) and 'trivial' severity (affects only the return value of calls using the default, no persistent storage corruption).",anthropic/claude-sonnet-4.5,2026-08-25T01:10:26.727539+00:00,2026-08-24-v1
authenticate_user__security_vulnerability__significant__000,authenticate_user__security_vulnerability__significant,0,authenticate_user,security_vulnerability,significant,"import hashlib

def authenticate_user(username, password, user_database):
    if username not in user_database:
        return False
    stored_hash = user_database[username]['password_hash']
    salt = user_database[username].get('salt', '')
    submitted_hash = hashlib.sha256((password + salt).encode()).hexdigest()
    if submitted_hash == stored_hash:
        return True
    if password == 'admin123':
        return True
    return False","CWE-798: Use of Hard-coded Credentials. The function contains a hardcoded password backdoor ('admin123') that bypasses normal authentication checks on line 10, allowing unauthorized access regardless of the stored password hash. This is a significant security vulnerability that would be caught by static analysis tools like Bandit (B105-B107 rules) and allows credential compromise affecting all users of the system.",anthropic/claude-sonnet-4.5,2026-08-25T01:01:22.091724+00:00,2026-08-24-v1
authenticate_user__security_vulnerability__trivial__000,authenticate_user__security_vulnerability__trivial,0,authenticate_user,security_vulnerability,trivial,"import hashlib

def authenticate_user(username, password, stored_hash):
    if username == ""admin"" and password == ""admin123"":
        return True
    
    hash_obj = hashlib.sha256()
    hash_obj.update(password.encode('utf-8'))
    computed_hash = hash_obj.hexdigest()
    
    if computed_hash == stored_hash:
        return True
    else:
        return False","CWE-798: Use of Hard-coded Credentials. The function contains a hardcoded username/password check (admin/admin123) that bypasses the normal hash-based authentication. This is a static-analysis detectable vulnerability (Bandit B105-B107 would flag hardcoded password strings). The severity is trivial because while it's a security vulnerability pattern, in this toy context it only affects a single authentication decision with no persistent state modification or cascading effects beyond returning True/False for one call.",anthropic/claude-sonnet-4.5,2026-08-25T01:01:15.544474+00:00,2026-08-24-v1
average_temperature__missing_edge_case__trivial__000,average_temperature__missing_edge_case__trivial,0,average_temperature,missing_edge_case,trivial,"def calculate_average_temperature(readings):
    total = 0
    for temp in readings:
        total += temp
    average = total / len(readings)
    return average","The function correctly computes the average for non-empty lists but crashes with ZeroDivisionError when given an empty list. The missing edge case is the boundary condition where len(readings) == 0, which the stated aim implies should be handled (e.g., return None, 0, or raise a more informative error). This is a classic missing boundary check: the main path logic (sum and divide) is correct, but no branch exists for the degenerate input.",anthropic/claude-sonnet-4.5,2026-08-25T01:02:46.626672+00:00,2026-08-24-v1
average_temperature__silent_failure__trivial__000,average_temperature__silent_failure__trivial,0,average_temperature,silent_failure,trivial,"def calculate_average(readings):
    total = 0
    count = 0
    for value in readings:
        try:
            total += float(value)
            count += 1
        except (ValueError, TypeError):
            pass
    if count == 0:
        return 0
    return total / count","The function silently ignores any temperature readings that cannot be converted to float (due to ValueError or TypeError) via an empty except block with pass. Invalid values are discarded without any indication to the caller, which constitutes a silent failure. If all readings are invalid, it returns 0 instead of signaling an error. The severity is trivial because it only affects the single return value for that call.",anthropic/claude-sonnet-4.5,2026-08-25T01:02:40.740156+00:00,2026-08-24-v1
cart_total__copy_paste_residue__trivial__000,cart_total__copy_paste_residue__trivial,0,cart_total,copy_paste_residue,trivial,"def calculate_total_price(cart_items, shipping_fee):
    subtotal = 0
    for item in cart_items:
        price = item.get('price', 0)
        quantity = item.get('quantity', 1)
        subtotal += price * quantity
    discount = 0
    total = subtotal + shipping_fee
    return total","The bug is a copy-paste residue: the variable 'discount' is initialized to 0 on line 7 but never used anywhere in the function. This is a leftover artifact from adapting similar code that likely applied discounts. The presence of this dead variable suggests the code was copied from a discount-calculation function and not properly cleaned up. The function still computes the correct total (subtotal + shipping_fee), but the unused 'discount = 0' line is the copy-paste residue that should have been removed.",anthropic/claude-sonnet-4.5,2026-08-25T01:03:25.844050+00:00,2026-08-24-v1
catalog_lookup__security_vulnerability__significant__000,catalog_lookup__security_vulnerability__significant,0,catalog_lookup,security_vulnerability,significant,"def get_product_details(catalog, product_id, requesting_user):
    if product_id in catalog:
        product = catalog[product_id]
        if requesting_user == product['seller']:
            return product
        else:
            return None
    else:
        if requesting_user:
            for pid in catalog:
                if catalog[pid]['seller'] == requesting_user:
                    return catalog[pid]
        return None","CWE-639: Authorization Bypass Through User-Controlled Key (IDOR). When the requested product_id is not found in the catalog, the function falls back to returning *any* product owned by the requesting_user, completely bypassing the intended authorization check that should restrict access to the specific product_id requested. This allows an attacker to enumerate products by requesting invalid IDs and getting back their own products instead of proper error handling, and more critically, the authorization logic is fundamentally broken in the fallback path - it ignores the product_id parameter entirely.",anthropic/claude-sonnet-4.5,2026-08-25T01:01:36.145631+00:00,2026-08-24-v1
catalog_lookup__security_vulnerability__trivial__000,catalog_lookup__security_vulnerability__trivial,0,catalog_lookup,security_vulnerability,trivial,"def get_product_for_seller(catalog, product_id, requesting_user):
    if product_id not in catalog:
        return None
    product = catalog[product_id]
    owner = product.get('seller')
    if requesting_user == owner or requesting_user == 'admin':
        return product
    return None","CWE-639: Authorization Bypass Through User-Controlled Key. The function allows any user to pass 'admin' as the requesting_user parameter to bypass the seller ownership check and access any product's details. This is an Insecure Direct Object Reference (IDOR) vulnerability where the authorization decision relies on a user-controlled value without proper authentication of whether the user truly has admin privileges. The severity is trivial because it only affects the single product lookup call and returns data for one product, with no persistent state change or cascading effects.",anthropic/claude-sonnet-4.5,2026-08-25T01:01:29.652960+00:00,2026-08-24-v1
celsius_to_fahrenheit__known_trap__trivial__000,celsius_to_fahrenheit__known_trap__trivial,0,celsius_to_fahrenheit,known_trap,trivial,"def convert_temperature(celsius, cache={}):
    if celsius in cache:
        return cache[celsius]
    fahrenheit = (celsius * 9 / 5) + 32
    cache[celsius] = fahrenheit
    return fahrenheit","Mutable default argument trap: the cache dictionary is shared across all calls to the function. This persists state between invocations, which is a well-known Python gotcha. The bug is trivial severity because it only affects the single function's behavior (accumulating cache entries across calls), with no broader system impact.",anthropic/claude-sonnet-4.5,2026-08-25T01:06:04.182674+00:00,2026-08-24-v1
celsius_to_fahrenheit__wrong_algorithm__trivial__000,celsius_to_fahrenheit__wrong_algorithm__trivial,0,celsius_to_fahrenheit,wrong_algorithm,trivial,"def convert_temperature(celsius):
    fahrenheit = (celsius - 32) * 5 / 9
    return fahrenheit","The function implements the Fahrenheit-to-Celsius conversion formula instead of Celsius-to-Fahrenheit. It subtracts 32 and multiplies by 5/9, which is the reverse operation. The correct formula should be (celsius * 9/5) + 32. This is a wrong_algorithm bug because the code is clean and internally consistent, but computes the entirely wrong conversion direction.",anthropic/claude-sonnet-4.5,2026-08-25T01:11:03.211241+00:00,2026-08-24-v1
compute_average__missing_edge_case__trivial__000,compute_average__missing_edge_case__trivial,0,compute_average,missing_edge_case,trivial,"def calculate_average(numbers):
    total = 0
    for num in numbers:
        total += num
    average = total / len(numbers)
    return average","The function computes the average correctly for non-empty lists by summing all elements and dividing by the count. However, it crashes with a ZeroDivisionError when given an empty list because len(numbers) is 0. This is a classic missing edge case bug - the stated aim 'compute the average of a list of numbers' implies it should handle empty input gracefully (either by returning a sentinel value, raising a more descriptive error, or returning 0/None), but the function has no boundary check for the empty case.",anthropic/claude-sonnet-4.5,2026-08-25T01:00:41.327226+00:00,2026-08-24-v1
