"item_id","verdict","note"
"rename_files__copy_paste_residue__significant__000","drop","plausible residue, but essentially the same extra print is significant in 1 and trivial in 3."
"cart_total__copy_paste_residue__trivial__000","not_a_bug","Dead code, but the claimed copy-paste history is conjecture. It produces no behavioral defect."
"rename_files__copy_paste_residue__trivial__000","drop","plausible residue, but essentially the same extra print is significant in 1 and trivial in 3."
"add_note__known_trap__significant__000","wrong_tier","items 4 and 5 contain identical buggy code and identical fixes, yet one is significant and the other trivial. They cannot support a severity comparison as written."
"add_note__known_trap__trivial__000","drop","items 4 and 5 contain identical buggy code and identical fixes, yet one is significant and the other trivial. They cannot support a severity comparison as written."
"celsius_to_fahrenheit__known_trap__trivial__000","not_a_bug","The shared cache stores a deterministic conversion. The rationale identifies shared state but no incorrect output or harmful behavior."
"reset_token_validation__logic_error__significant__000","ok",""
"discount_eligibility__logic_error__trivial__000","ok",""
"is_freezing__logic_error__trivial__000","ok",""
"parse_csv_header__logic_error__trivial__000","ok",""
"reset_token_validation__logic_error__trivial__000","wrong_tier",""
"shipping_cost__logic_error__trivial__000","drop","Neither the stated aim nor code defines the intended prices. The rationale’s claim that the final branch is unreachable is false."
"sort_students_by_grade__logic_error__trivial__000","ok",""
"process_order_batch__missing_edge_case__significant__000","drop",""
"reset_token_validation__missing_edge_case__significant__000","",""
"average_temperature__missing_edge_case__trivial__000","",""
"compute_average__missing_edge_case__trivial__000","",""
"parse_csv_header__missing_edge_case__trivial__000","not_a_bug","An empty string already returns []. The added guard changes no result."
"process_order_batch__missing_edge_case__trivial__000","drop",""
"reset_token_validation__missing_edge_case__trivial__000","wrong_tier",""
"validate_username_length__missing_edge_case__trivial__000","not_a_bug","The aim says to log single-character attempts. The original code does that and correctly rejects empty and two-character names. The fix silently expands the logging rule."
"authenticate_user__security_vulnerability__significant__000","ok",""
"catalog_lookup__security_vulnerability__significant__000","wrong_flavor","The fallback returns a product owned by the requesting user. It violates the requested-ID behavior, but the claimed authorization bypass is unsupported."
"job_status_auth__security_vulnerability__significant__000","drop","The twin fixes the missing API-key check but retains the hard-coded keys that the rationale also calls a vulnerability. It is not a clean control for the full stated problem."
"public_profile_lookup__security_vulnerability__significant__000","ok",""
"reset_token_validation__security_vulnerability__significant__000","",""
"authenticate_user__security_vulnerability__trivial__000","wrong_tier",""
"catalog_lookup__security_vulnerability__trivial__000","wrong_tier",""
"job_status_auth__security_vulnerability__trivial__000","wrong_tier",""
"public_profile_lookup__security_vulnerability__trivial__000","wrong_tier",""
"reset_token_validation__security_vulnerability__trivial__000","",""
"parse_config__silent_failure__significant__000","ok",""
"process_orders_revenue__silent_failure__significant__000","ok",""
"reset_token_validation__silent_failure__significant__000","drop",""
"average_temperature__silent_failure__trivial__000","ok",""
"parse_config__silent_failure__trivial__000","wrong_flavor","On malformed JSON, the code raises UnboundLocalError. The failure is visible; it is not silently returned to the caller. The twin also returns a default config, which may itself conceal a parse failure."
"process_orders_revenue__silent_failure__trivial__000","ok",""
"reset_token_validation__silent_failure__trivial__000","",""
"celsius_to_fahrenheit__wrong_algorithm__trivial__000","ok",""
"compute_average__wrong_algorithm__trivial__000","ok",""
"shipping_cost__wrong_algorithm__trivial__000","drop",""
